ROWNUM,Term,POTUS Number,POTUS,FNAME,MNAME,LNAME,TERM_START_DATE,TERM_END_DATE,DOB,EOL,PARTY,FLOTUS,DT_OF_MARRIAGE,VPOTUS,POTUS_STATE,POTUS_Salary,POTUS_ELECTORAL_VOTES,ELECTORAL_TOTAL,POP_VOTE_POTUS,POP_VOTE_TOTAL,DOM_HAND
1,1789-1792,1,George Washington,George,,Washington,4/30/1789,4/29/1792,2/22/1732,12/14/1799,Federalist,Martha Washington,1/6/1759,John Adams,Virginia,"$25,000.00 ",69,150,,,R
2,1792-1796,1,George Washington,George,,Washington,4/30/1792,3/3/1797,2/22/1732,12/14/1799,Federalist,Martha Washington,1/6/1759,John Adams,Virginia,"$25,001.00 ",132,264,,,R
3,1797-1801,2,John Adams,John,,Adams,3/4/1797,3/3/1801,10/30/1735,7/4/1826,Federalist,Abigail Adams,10/25/1764,Thomas Jefferson,Massachusettes,"$25,000.00 ",71,276,,,R
4,1801-1805,3,Thomas Jefferson,Thomas,,Jefferson,3/4/1801,3/3/1805,4/13/1743,7/4/1826,Democratic-Republican,Martha Wayles Skelton Jefferson,1/1/1772,Aaron Burr,Virginia,"$25,000.00 ",73,276,,,R
5,1805-1809,3,Thomas Jefferson,Thomas,,Jefferson,3/4/1805,3/3/1809,4/13/1743,7/4/1826,Democratic-Republican,Martha Wayles Skelton Jefferson,1/1/1772,George Clinton,Virginia,"$25,000.00 ",162,176,,,R
6,1809-1812,4,James Madison,James,,Madison,3/4/1809,3/3/1813,3/16/1751,6/28/1836,Democratic-Republican,Dolley Madison,9/15/1794,George Clinton,Virginia,"$25,000.00 ",122,176,,,R
7,1812-1813,4,James Madison,James,,Madison,3/4/1809,3/3/1813,3/16/1751,6/28/1836,Democratic-Republican,Dolley Madison,9/15/1794,,Virginia,"$25,000.00 ",122,176,,,R
8,1813-1814,4,James Madison,James,,Madison,3/4/1813,3/3/1817,3/16/1751,6/28/1836,Democratic-Republican,Dolley Madison,9/15/1794,Elbridge Gerry,Virginia,"$25,000.00 ",128,218,,,R
9,1814-1817,4,James Madison,James,,Madison,3/4/1813,3/3/1817,3/16/1751,6/28/1836,Democratic-Republican,Dolley Madison,9/15/1794,,Virginia,"$25,000.00 ",128,218,,,R
10,1817-1821,5,James Monroe,James,,Monroe,3/4/1817,3/3/1821,4/28/1758,7/4/1831,Democratic-Republican,Elizabeth Kortright Monroe,2/16/1786,Daniel D. Tompkins,Virginia,"$25,000.00 ",183,213,,,R
11,1821-1825,5,James Monroe,James,,Monroe,3/4/1821,3/3/1825,4/28/1758,7/4/1831,Democratic-Republican,Elizabeth Kortright Monroe,2/16/1786,Daniel D. Tompkins,Virginia,"$25,000.00 ",231,235,,,R
12,1825-1829,6,John Quincy Adams,John,Quincy,Adams,3/4/1825,3/3/1829,7/11/1767,2/23/1848,Democratic-Republican,Louisa Catherine Adams,7/26/1797,John C. Calhoun,Massachusettes,"$25,000.00 ",84,261,108740,356038,R
13,1829-1833,7,Andrew Jackson,Andrew,,Jackson,3/4/1829,3/3/1833,3/15/1767,6/8/1845,Democrat ,Rachel Jackson,1/17/1794,John C. Calhoun,Tennessee,"$25,000.00 ",178,261,647286,1155350,R
14,1833-1837,7,Andrew Jackson,Andrew,,Jackson,3/4/1833,3/3/1837,3/15/1767,6/8/1845,Democrat ,Rachel Jackson,1/17/1794,Martin Van Buren,Tennessee,"$25,000.00 ",219,288,687502,2435382,R
15,1837-1841,8,Martin Van Buren,Martin,,Van Buren,3/4/1837,3/3/1841,12/5/1782,7/24/1862,Democrat,Hannah Hoes Van Buren,2/21/1807,Richard M. Johnson,New York,"$25,000.00 ",170,294,765483,1501630,R
16,1841,9,William Henry Harrison,William,Henry,Harrison,3/4/1841,4/4/1841,2/9/1773,4/4/1841,Whig,Anna Tuthill Symmes Harrison,11/25/1795,John Tyler,Ohio,"$25,000.00 ",234,294,1274624,2402405,R
17,1841-1844,10,John Tyler,John,,Tyler,4/6/1841,3/3/1845,3/29/1790,1/18/1862,Whig,Letitia Christian Tyler,3/29/1813,,Virginia,"$25,000.00 ",0,0,0,0,R
18,1844-1845,10,John Tyler,John,,Tyler,4/6/1841,3/3/1845,3/29/1790,1/18/1862,Whig,Julia Gardiner Tyler,6/26/1844,,Virginia,"$25,000.00 ",0,0,0,0,R
